D_ACCELX,D_ACCELY,D_ACCELZ,XTRUE,YTRUE,ZTRUE,-2.26659942,-3.06918049,-2.26105857,-3.06542063,-2.30497336,-3.03424668
-0.02,0.07,-0.96,0,0,-1,,-3.023848502,,-3.22369473,,-0.821472254
-0.07,-0.03,-0.97,0,0,-1,,-2.910518531,,-2.997588873,,-0.798422521
-0.07,0.01,-1.01,0,0,-1,,-2.910518531,,-3.088031216,,-0.706223586
-0.05,0.01,-1.04,0,0,-1,,-2.955850519,,-3.088031216,,-0.637074386
0.05,0.04,-1.03,0,0,-1,,-3.182510461,,-3.155862973,,-0.660124119
-0.06,0.01,-1.04,0,0,-1,,-2.933184525,,-3.088031216,,-0.637074386
0,-0.01,-1.01,0,0,-1,,-3.06918049,,-3.042810044,,-0.706223586
0.01,-0.01,-1.05,0,0,-1,,-3.091846484,,-3.042810044,,-0.614024652
0.03,0,-1.03,0,0,-1,,-3.137178473,,-3.06542063,,-0.660124119
0.03,0.02,-0.98,0,0,-1,,-3.137178473,,-3.110641801,,-0.775372787
-0.1,0.02,-1.01,0,0,-1,,-2.842520548,,-3.110641801,,-0.706223586
0.01,0.06,-0.96,0,0,-1,,-3.091846484,,-3.201084144,,-0.821472254
0.05,-0.01,-1,0,0,-1,,-3.182510461,,-3.042810044,,-0.72927332
-0.01,0.02,-1.01,0,0,-1,,-3.046514496,,-3.110641801,,-0.706223586
-0.03,-0.04,-1.02,0,0,-1,,-3.001182507,,-2.974978287,,-0.683173853
0.05,-0.04,-1.04,0,0,-1,,-3.182510461,,-2.974978287,,-0.637074386
-0.01,0.01,-0.98,0,0,-1,,-3.046514496,,-3.088031216,,-0.775372787
-0.11,0.05,-0.99,0,0,-1,,-2.819854554,,-3.178473559,,-0.752323054
0,0.06,-0.97,0,0,-1,,-3.06918049,,-3.201084144,,-0.798422521
0.02,-0.01,-1.06,0,0,-1,,-3.114512478,,-3.042810044,,-0.590974918
-0.09,0.03,-0.97,0,0,-1,,-2.865186542,,-3.133252387,,-0.798422521
0,0.03,-1,0,0,-1,,-3.06918049,,-3.133252387,,-0.72927332
0.05,0.02,-1.02,0,0,-1,,-3.182510461,,-3.110641801,,-0.683173853
0.04,0,-1.02,0,0,-1,,-3.159844467,,-3.06542063,,-0.683173853
-0.01,-0.04,-1.08,0,0,-1,,-3.046514496,,-2.974978287,,-0.544875451
0.02,0.01,-1,0,0,-1,,-3.114512478,,-3.088031216,,-0.72927332
-0.02,-0.02,-1.04,0,0,-1,,-3.023848502,,-3.020199459,,-0.637074386
0.04,0,-1.05,0,0,-1,,-3.159844467,,-3.06542063,,-0.614024652
0.04,0.02,-1.01,0,0,-1,,-3.159844467,,-3.110641801,,-0.706223586
-0.02,-0.02,-1.04,0,0,-1,,-3.023848502,,-3.020199459,,-0.637074386
-0.01,-0.05,-1.06,0,0,-1,,-3.046514496,,-2.952367702,,-0.590974918
0.04,-0.01,-0.98,0,0,-1,,-3.159844467,,-3.042810044,,-0.775372787
-0.06,0.05,-1.05,0,0,-1,,-2.933184525,,-3.178473559,,-0.614024652
-0.04,0.07,-1.02,0,0,-1,,-2.978516513,,-3.22369473,,-0.683173853
-0.06,0.03,-1.04,0,0,-1,,-2.933184525,,-3.133252387,,-0.637074386
0.01,-0.07,-1.05,0,0,-1,,-3.091846484,,-2.90714653,,-0.614024652
-0.03,-0.02,-0.95,0,0,-1,,-3.001182507,,-3.020199459,,-0.844521988
0.03,-0.02,-1,0,0,-1,,-3.137178473,,-3.020199459,,-0.72927332
-0.03,-0.02,-1.02,0,0,-1,,-3.001182507,,-3.020199459,,-0.683173853
0.04,0.01,-1.02,0,0,-1,,-3.159844467,,-3.088031216,,-0.683173853
-0.01,0.03,-1.05,0,0,-1,,-3.046514496,,-3.133252387,,-0.614024652
0,-0.01,-1.02,0,0,-1,,-3.06918049,,-3.042810044,,-0.683173853
-0.05,-0.01,-1.07,0,0,-1,,-2.955850519,,-3.042810044,,-0.567925185
-0.05,-0.04,-1.04,0,0,-1,,-2.955850519,,-2.974978287,,-0.637074386
0.02,0.05,-0.99,0,0,-1,,-3.114512478,,-3.178473559,,-0.752323054
0.01,-0.03,-1.03,0,0,-1,,-3.091846484,,-2.997588873,,-0.660124119
0.03,0.01,-1.02,0,0,-1,,-3.137178473,,-3.088031216,,-0.683173853
0.01,0.01,-1.03,0,0,-1,,-3.091846484,,-3.088031216,,-0.660124119
-0.02,-0.07,-1,0,0,-1,,-3.023848502,,-2.90714653,,-0.72927332
-0.04,0.02,-1.02,0,0,-1,,-2.978516513,,-3.110641801,,-0.683173853
-0.01,0,-1.02,0,0,-1,,-3.046514496,,-3.06542063,,-0.683173853
0.02,-0.05,-1.01,0,0,-1,,-3.114512478,,-2.952367702,,-0.706223586
-0.01,0.03,-1,0,0,-1,,-3.046514496,,-3.133252387,,-0.72927332
0.01,0.01,-0.97,0,0,-1,,-3.091846484,,-3.088031216,,-0.798422521
0.02,-0.02,-1,0,0,-1,,-3.114512478,,-3.020199459,,-0.72927332
-0.06,0,-1.05,0,0,-1,,-2.933184525,,-3.06542063,,-0.614024652
-0.05,-0.05,-0.98,0,0,-1,,-2.955850519,,-2.952367702,,-0.775372787
0,0.07,-1.08,0,0,-1,,-3.06918049,,-3.22369473,,-0.544875451
0.03,-0.93,-0.03,0,-1,0,,-3.137178473,,-0.96263616,,-2.965097479
-0.04,-0.95,-0.03,0,-1,0,,-2.978516513,,-0.917414989,,-2.965097479
-0.04,-1.05,-0.04,0,-1,0,,-2.978516513,,-0.691309132,,-2.942047746
-0.04,-1,0.01,0,-1,0,,-2.978516513,,-0.80436206,,-3.057296414
0,-1.04,0.04,0,-1,0,,-3.06918049,,-0.713919717,,-3.126445614
-0.04,-0.95,0.02,0,-1,0,,-2.978516513,,-0.917414989,,-3.080346147
0.08,-0.99,0.06,0,-1,0,,-3.250508444,,-0.826972646,,-3.172545082
-0.03,-0.99,0.08,0,-1,0,,-3.001182507,,-0.826972646,,-3.218644549
0.06,-1.03,0,0,-1,0,,-3.205176455,,-0.736530303,,-3.03424668
-0.09,-0.98,0.02,0,-1,0,,-2.865186542,,-0.849583231,,-3.080346147
-0.01,-1,0.02,0,-1,0,,-3.046514496,,-0.80436206,,-3.080346147
-0.1,-1.03,0.01,0,-1,0,,-2.842520548,,-0.736530303,,-3.057296414
0,-1.01,0.05,0,-1,0,,-3.06918049,,-0.781751474,,-3.149495348
-0.06,-1,-0.02,0,-1,0,,-2.933184525,,-0.80436206,,-2.988147213
-0.05,-1,0,0,-1,0,,-2.955850519,,-0.80436206,,-3.03424668
0.02,-1.03,0.01,0,-1,0,,-3.114512478,,-0.736530303,,-3.057296414
0.01,-0.98,0.01,0,-1,0,,-3.091846484,,-0.849583231,,-3.057296414
-0.01,-1,0.02,0,-1,0,,-3.046514496,,-0.80436206,,-3.080346147
-0.02,-1.02,0.02,0,-1,0,,-3.023848502,,-0.759140889,,-3.080346147
0.02,-0.96,-0.02,0,-1,0,,-3.114512478,,-0.894804403,,-2.988147213
-0.06,-0.98,-0.01,0,-1,0,,-2.933184525,,-0.849583231,,-3.011196946
0.04,-1.04,0,0,-1,0,,-3.159844467,,-0.713919717,,-3.03424668
-0.04,-1.01,0.02,0,-1,0,,-2.978516513,,-0.781751474,,-3.080346147
-0.04,-0.95,0.07,0,-1,0,,-2.978516513,,-0.917414989,,-3.195594815
0,-0.94,0.06,0,-1,0,,-3.06918049,,-0.940025574,,-3.172545082
-0.08,-1.03,-0.03,0,-1,0,,-2.887852536,,-0.736530303,,-2.965097479
0.01,-1.02,-0.01,0,-1,0,,-3.091846484,,-0.759140889,,-3.011196946
0.05,-1.02,0.08,0,-1,0,,-3.182510461,,-0.759140889,,-3.218644549
-0.05,-1.02,0.02,0,-1,0,,-2.955850519,,-0.759140889,,-3.080346147
0.03,-1,-0.03,0,-1,0,,-3.137178473,,-0.80436206,,-2.965097479
0.01,-0.96,-0.01,0,-1,0,,-3.091846484,,-0.894804403,,-3.011196946
-0.03,-1.02,-0.03,0,-1,0,,-3.001182507,,-0.759140889,,-2.965097479
-0.09,-0.94,-0.02,0,-1,0,,-2.865186542,,-0.940025574,,-2.988147213
-0.02,-0.98,-0.02,0,-1,0,,-3.023848502,,-0.849583231,,-2.988147213
0.02,-1.01,-0.02,0,-1,0,,-3.114512478,,-0.781751474,,-2.988147213
-0.03,-1,0.03,0,-1,0,,-3.001182507,,-0.80436206,,-3.103395881
0.03,-1.03,0.02,0,-1,0,,-3.137178473,,-0.736530303,,-3.080346147
-0.05,-1,-0.03,0,-1,0,,-2.955850519,,-0.80436206,,-2.965097479
0,-0.99,0.03,0,-1,0,,-3.06918049,,-0.826972646,,-3.103395881
-0.06,-0.95,0.01,0,-1,0,,-2.933184525,,-0.917414989,,-3.057296414
-0.02,-1.07,-0.04,0,-1,0,,-3.023848502,,-0.64608796,,-2.942047746
-0.05,-1,0.04,0,-1,0,,-2.955850519,,-0.80436206,,-3.126445614
-0.06,-1.06,0.02,0,-1,0,,-2.933184525,,-0.668698546,,-3.080346147
0,-1.04,-0.04,0,-1,0,,-3.06918049,,-0.713919717,,-2.942047746
0.01,-1,-0.01,0,-1,0,,-3.091846484,,-0.80436206,,-3.011196946
-0.03,-0.97,0.03,0,-1,0,,-3.001182507,,-0.872193817,,-3.103395881
-0.01,-1.03,0.01,0,-1,0,,-3.046514496,,-0.736530303,,-3.057296414
-0.02,-0.97,0.02,0,-1,0,,-3.023848502,,-0.872193817,,-3.080346147
0.01,-0.98,0.03,0,-1,0,,-3.091846484,,-0.849583231,,-3.103395881
-0.02,-1.03,0.01,0,-1,0,,-3.023848502,,-0.736530303,,-3.057296414
-0.02,-1.07,-0.01,0,-1,0,,-3.023848502,,-0.64608796,,-3.011196946
-0.09,-1.04,0.03,0,-1,0,,-2.865186542,,-0.713919717,,-3.103395881
-0.04,-0.99,0.05,0,-1,0,,-2.978516513,,-0.826972646,,-3.149495348
-0.01,-1.04,0.01,0,-1,0,,-3.046514496,,-0.713919717,,-3.057296414
0,-1,0.06,0,-1,0,,-3.06918049,,-0.80436206,,-3.172545082
-0.02,-1.03,0.01,0,-1,0,,-3.023848502,,-0.736530303,,-3.057296414
0.02,-1.01,0.01,0,-1,0,,-3.114512478,,-0.781751474,,-3.057296414
0.06,-0.99,0.01,0,-1,0,,-3.205176455,,-0.826972646,,-3.057296414
-0.03,-1.06,-0.01,0,-1,0,,-3.001182507,,-0.668698546,,-3.011196946
-0.03,-0.99,0.01,0,-1,0,,-3.001182507,,-0.826972646,,-3.057296414
-0.02,-1.01,0,0,-1,0,,-3.023848502,,-0.781751474,,-3.03424668
0.03,1,0.02,0,1,0,,-3.137178473,,-5.3264792,,-3.080346147
-0.01,0.99,0.07,0,1,0,,-3.046514496,,-5.303868614,,-3.195594815
0.05,0.98,0.01,0,1,0,,-3.182510461,,-5.281258029,,-3.057296414
0.04,0.97,-0.01,0,1,0,,-3.159844467,,-5.258647443,,-3.011196946
-0.05,0.98,-0.02,0,1,0,,-2.955850519,,-5.281258029,,-2.988147213
0.03,1.01,0.05,0,1,0,,-3.137178473,,-5.349089786,,-3.149495348
0.01,0.96,0.01,0,1,0,,-3.091846484,,-5.236036857,,-3.057296414
0,0.98,0.09,0,1,0,,-3.06918049,,-5.281258029,,-3.241694282
0.02,1.04,0.05,0,1,0,,-3.114512478,,-5.416921543,,-3.149495348
0.02,1.02,0.03,0,1,0,,-3.114512478,,-5.371700371,,-3.103395881
-0.02,1.05,0.06,0,1,0,,-3.023848502,,-5.439532129,,-3.172545082
-0.01,1.05,0.04,0,1,0,,-3.046514496,,-5.439532129,,-3.126445614
0.06,0.91,0.05,0,1,0,,-3.205176455,,-5.122983929,,-3.149495348
-0.03,0.99,0.03,0,1,0,,-3.001182507,,-5.303868614,,-3.103395881
0.03,1.02,0,0,1,0,,-3.137178473,,-5.371700371,,-3.03424668
0,0.99,-0.02,0,1,0,,-3.06918049,,-5.303868614,,-2.988147213
0,0.98,0.01,0,1,0,,-3.06918049,,-5.281258029,,-3.057296414
-0.04,1.04,0.04,0,1,0,,-2.978516513,,-5.416921543,,-3.126445614
0,1.02,0.02,0,1,0,,-3.06918049,,-5.371700371,,-3.080346147
0.04,0.99,0.08,0,1,0,,-3.159844467,,-5.303868614,,-3.218644549
-0.04,0.95,0.07,0,1,0,,-2.978516513,,-5.213426272,,-3.195594815
0.03,0.98,0,0,1,0,,-3.137178473,,-5.281258029,,-3.03424668
0.07,1.04,0.07,0,1,0,,-3.227842449,,-5.416921543,,-3.195594815
0.03,0.99,0,0,1,0,,-3.137178473,,-5.303868614,,-3.03424668
-0.02,1,0.01,0,1,0,,-3.023848502,,-5.3264792,,-3.057296414
0.04,1.06,0.04,0,1,0,,-3.159844467,,-5.462142714,,-3.126445614
-0.01,1.01,0.09,0,1,0,,-3.046514496,,-5.349089786,,-3.241694282
0.01,1.02,0.03,0,1,0,,-3.091846484,,-5.371700371,,-3.103395881
-0.03,0.92,0.01,0,1,0,,-3.001182507,,-5.145594514,,-3.057296414
-0.02,1.06,0.01,0,1,0,,-3.023848502,,-5.462142714,,-3.057296414
-0.03,1.03,0.02,0,1,0,,-3.001182507,,-5.394310957,,-3.080346147
0.01,1.03,0.01,0,1,0,,-3.091846484,,-5.394310957,,-3.057296414
0.07,1.02,0.06,0,1,0,,-3.227842449,,-5.371700371,,-3.172545082
-0.01,0.98,0.05,0,1,0,,-3.046514496,,-5.281258029,,-3.149495348
0.01,1,0,0,1,0,,-3.091846484,,-5.3264792,,-3.03424668
-0.03,0.98,0.01,0,1,0,,-3.001182507,,-5.281258029,,-3.057296414
0.04,1.02,0.03,0,1,0,,-3.159844467,,-5.371700371,,-3.103395881
-0.03,0.97,0.05,0,1,0,,-3.001182507,,-5.258647443,,-3.149495348
0.08,1.02,0,0,1,0,,-3.250508444,,-5.371700371,,-3.03424668
-0.06,0.95,0.04,0,1,0,,-2.933184525,,-5.213426272,,-3.126445614
0.01,0.99,0.03,0,1,0,,-3.091846484,,-5.303868614,,-3.103395881
0.1,0.98,0.04,0,1,0,,-3.295840432,,-5.281258029,,-3.126445614
-0.02,1.03,0.01,0,1,0,,-3.023848502,,-5.394310957,,-3.057296414
-0.02,0.96,-0.02,0,1,0,,-3.023848502,,-5.236036857,,-2.988147213
-0.02,0.97,0.03,0,1,0,,-3.023848502,,-5.258647443,,-3.103395881
-0.04,1.01,0,0,1,0,,-2.978516513,,-5.349089786,,-3.03424668
0.02,0.99,0.03,0,1,0,,-3.114512478,,-5.303868614,,-3.103395881
0.06,0.98,0.06,0,1,0,,-3.205176455,,-5.281258029,,-3.172545082
0.05,1.01,-0.03,0,1,0,,-3.182510461,,-5.349089786,,-2.965097479
0.02,0.94,0.1,0,1,0,,-3.114512478,,-5.190815686,,-3.264744016
0.02,1.01,0.01,0,1,0,,-3.114512478,,-5.349089786,,-3.057296414
0.02,1.03,0.07,0,1,0,,-3.114512478,,-5.394310957,,-3.195594815
-0.07,0.96,0.07,0,1,0,,-2.910518531,,-5.236036857,,-3.195594815
0.05,1.03,0.02,0,1,0,,-3.182510461,,-5.394310957,,-3.080346147
0.03,0.99,0,0,1,0,,-3.137178473,,-5.303868614,,-3.03424668
0.06,0.96,0.02,0,1,0,,-3.205176455,,-5.236036857,,-3.080346147
0.07,0.98,0.04,0,1,0,,-3.227842449,,-5.281258029,,-3.126445614
-0.04,1.03,-0.01,0,1,0,,-2.978516513,,-5.394310957,,-3.011196946
-0.03,1.01,0.02,0,1,0,,-3.001182507,,-5.349089786,,-3.080346147
0.01,1.02,-0.04,0,1,0,,-3.091846484,,-5.371700371,,-2.942047746
0.04,0.96,-0.02,0,1,0,,-3.159844467,,-5.236036857,,-2.988147213
1.01,-0.01,0.03,1,0,0,,-5.358445904,,-3.042810044,,-3.103395881
1.07,0.01,-0.04,1,0,0,,-5.494441869,,-3.088031216,,-2.942047746
1.01,-0.01,0.01,1,0,0,,-5.358445904,,-3.042810044,,-3.057296414
1.03,0.03,0.01,1,0,0,,-5.403777893,,-3.133252387,,-3.057296414
1.1,-0.04,-0.03,1,0,0,,-5.562439852,,-2.974978287,,-2.965097479
0.99,0.01,0.01,1,0,0,,-5.313113916,,-3.088031216,,-3.057296414
1.07,0.03,-0.03,1,0,0,,-5.494441869,,-3.133252387,,-2.965097479
1.07,0,0,1,0,0,,-5.494441869,,-3.06542063,,-3.03424668
1.02,0,0.02,1,0,0,,-5.381111898,,-3.06542063,,-3.080346147
1.01,-0.02,0.01,1,0,0,,-5.358445904,,-3.020199459,,-3.057296414
1.01,0.01,-0.01,1,0,0,,-5.358445904,,-3.088031216,,-3.011196946
1.08,-0.03,0.03,1,0,0,,-5.517107864,,-2.997588873,,-3.103395881
1.04,-0.01,0,1,0,0,,-5.426443887,,-3.042810044,,-3.03424668
1.08,-0.02,-0.01,1,0,0,,-5.517107864,,-3.020199459,,-3.011196946
0.94,-0.05,-0.08,1,0,0,,-5.199783945,,-2.952367702,,-2.849848811
1.06,0.01,-0.01,1,0,0,,-5.471775875,,-3.088031216,,-3.011196946
1.05,0.02,-0.03,1,0,0,,-5.449109881,,-3.110641801,,-2.965097479
0.98,0.04,0.01,1,0,0,,-5.290447922,,-3.155862973,,-3.057296414
1.05,-0.05,0.01,1,0,0,,-5.449109881,,-2.952367702,,-3.057296414
1.01,0.01,0,1,0,0,,-5.358445904,,-3.088031216,,-3.03424668
1.04,0.02,0.01,1,0,0,,-5.426443887,,-3.110641801,,-3.057296414
1.05,-0.02,0.01,1,0,0,,-5.449109881,,-3.020199459,,-3.057296414
1.01,0.01,0.03,1,0,0,,-5.358445904,,-3.088031216,,-3.103395881
1,-0.03,-0.02,1,0,0,,-5.33577991,,-2.997588873,,-2.988147213
0.94,-0.07,0.02,1,0,0,,-5.199783945,,-2.90714653,,-3.080346147
